bg: 65.97% words modified, attack 14
en: 52.24% words modified, attack 14
es: 76.02% words modified, attack 14
fr: 81.30% words modified, attack 14
th: 155.53% words modified, attack 14
bg: 65.38% words modified, attack 14
el: 86.86% words modified, attack 14
en: 68.09% words modified, attack 14
es: 72.01% words modified, attack 14
fr: 93.08% words modified, attack 14
th: 148.04% words modified, attack 14
bg: 66.69% words modified, attack 14
el: 89.27% words modified, attack 14
en: 51.52% words modified, attack 14
es: 71.03% words modified, attack 14
fr: 90.92% words modified, attack 14
th: 126.59% words modified, attack 14
bg: 64.91% words modified, attack 14
el: 87.28% words modified, attack 14
en: 51.88% words modified, attack 14
es: 71.21% words modified, attack 14
fr: 90.99% words modified, attack 14
th: 138.44% words modified, attack 14
bg: 65.77% words modified, attack 14
el: 87.37% words modified, attack 14
en: 56.59% words modified, attack 14
es: 73.09% words modified, attack 14
fr: 62.83% words modified, attack 14
th: 129.00% words modified, attack 14
bg: 66.06% words modified, attack 14
el: 88.88% words modified, attack 14
en: 49.31% words modified, attack 14
es: 71.62% words modified, attack 14
fr: 88.78% words modified, attack 14
th: 132.17% words modified, attack 14
bg: 66.25% words modified, attack 14
el: 89.22% words modified, attack 14
en: 67.84% words modified, attack 14
es: 72.01% words modified, attack 14
fr: 89.09% words modified, attack 14
th: 130.11% words modified, attack 14
bg: 65.07% words modified, attack 14
el: 87.27% words modified, attack 14
en: 61.41% words modified, attack 14
es: 71.59% words modified, attack 14
fr: 78.12% words modified, attack 14
th: 146.43% words modified, attack 14
bg: 64.48% words modified, attack 14
el: 88.15% words modified, attack 14
en: 66.00% words modified, attack 14
es: 72.82% words modified, attack 14
fr: 68.41% words modified, attack 14
th: 123.48% words modified, attack 14
bg: 64.94% words modified, attack 14
el: 87.95% words modified, attack 14
en: 53.63% words modified, attack 14
es: 70.90% words modified, attack 14
fr: 99.32% words modified, attack 14
th: 139.72% words modified, attack 14
bg: 66.42% words modified, attack 14
el: 88.81% words modified, attack 14
en: 57.32% words modified, attack 14
es: 71.20% words modified, attack 14
fr: 86.00% words modified, attack 14
th: 123.23% words modified, attack 14
bg: 64.45% words modified, attack 14
el: 88.62% words modified, attack 14
en: 64.40% words modified, attack 14
es: 71.88% words modified, attack 14
fr: 84.08% words modified, attack 14
th: 123.44% words modified, attack 14
bg: 66.17% words modified, attack 14
el: 86.21% words modified, attack 14
en: 57.67% words modified, attack 14
es: 69.93% words modified, attack 14
fr: 84.50% words modified, attack 14
th: 153.11% words modified, attack 14
bg: 64.72% words modified, attack 14
el: 86.98% words modified, attack 14
en: 49.83% words modified, attack 14
es: 75.28% words modified, attack 14
fr: 91.43% words modified, attack 14
th: 143.95% words modified, attack 14
bg: 65.53% words modified, attack 14
el: 86.88% words modified, attack 14
en: 48.67% words modified, attack 14
es: 73.33% words modified, attack 14
fr: 99.71% words modified, attack 14
th: 141.18% words modified, attack 14
bg: 67.55% words modified, attack 14
el: 88.55% words modified, attack 14
en: 55.46% words modified, attack 14
es: 73.37% words modified, attack 14
fr: 94.85% words modified, attack 14
th: 140.64% words modified, attack 14
bg: 65.49% words modified, attack 14
el: 86.37% words modified, attack 14
en: 52.47% words modified, attack 14
es: 74.40% words modified, attack 14
fr: 82.76% words modified, attack 14
th: 129.13% words modified, attack 14
bg: 66.07% words modified, attack 14
el: 87.67% words modified, attack 14
en: 49.79% words modified, attack 14
es: 71.55% words modified, attack 14
fr: 91.27% words modified, attack 14
th: 149.11% words modified, attack 14
bg: 64.67% words modified, attack 14
el: 86.90% words modified, attack 14
en: 62.67% words modified, attack 14
es: 71.21% words modified, attack 14
fr: 88.67% words modified, attack 14
th: 134.22% words modified, attack 14
bg: 67.51% words modified, attack 14
el: 88.24% words modified, attack 14
en: 62.90% words modified, attack 14
es: 71.84% words modified, attack 14
fr: 82.36% words modified, attack 14
th: 134.62% words modified, attack 14
